,日期,最高温,最低温,天气,风力风向,空气质量指数
0,2023-05-16 周二,12°,5°,多云,东北风3级,46 优
1,2023-05-16 周二,28°,12°,小雨~阴,西北风2级,159 中度
2,2023-05-16 周二,27°,10°,小雨,西南风4级,67 良
3,2023-05-16 周二,30°,16°,多云~小雨,西南风5级,57 良
4,2023-05-16 周二,35°,22°,多云,南风3级,71 良
5,2023-05-16 周二,34°,23°,多云~雷阵雨,西南风4级,78 良
6,2023-05-16 周二,32°,15°,晴~多云,西南风2级,85 良
7,2023-05-16 周二,34°,17°,多云,东南风1级,55 良
8,2023-05-16 周二,26°,15°,多云~阵雨,东北风3级,71 良
9,2023-05-16 周二,30°,16°,多云,东北风4级,70 良
10,2023-05-16 周二,23°,7°,多云~小雨,东风2级,45 优
11,2023-05-16 周二,21°,13°,多云,西北风3级,30 优
12,2023-05-16 周二,13°,7°,多云~阵雨,南风1级,44 优
13,2023-05-16 周二,32°,18°,多云,东南风1级,113 轻度
14,2023-05-16 周二,28°,20°,多云~晴,东北风1级,52 良
15,2023-05-16 周二,34°,24°,晴,西南风5级,70 良
16,2023-05-16 周二,31°,20°,多云,西南风4级,73 良
17,2023-05-16 周二,31°,22°,多云~雷阵雨,南风3级,54 良
18,2023-05-16 周二,29°,19°,多云~小雨,南风4级,59 良
19,2023-05-16 周二,27°,19°,小雨~中雨,东南风2级,66 良
20,2023-05-16 周二,32°,21°,多云~中雨,南风3级,59 良
21,2023-05-16 周二,28°,21°,雾~小雨,东风1级,58 良
22,2023-05-16 周二,26°,22°,小雨~大雨,东南风1级,56 良
23,2023-05-16 周二,29°,22°,多云~中雨,南风2级,55 良
24,2023-05-16 周二,28°,17°,多云,西南风3级,40 优
25,2023-05-16 周二,31°,24°,多云,南风2级,35 优
26,2023-05-16 周二,34°,25°,多云,东南风1级,25 优
27,2023-05-16 周二,30°,20°,多云~小雨,东南风4级,54 良
28,2023-05-16 周二,28°,23°,多云~雷阵雨,南风3级,44 优
29,2023-05-16 周二,24°,14°,小雨~晴,西南风3级,24 优
30,2023-05-16 周二,32°,24°,多云,西北风1级,
